#{"t_start": 1648261826.6046648, "env_id": "HummingbirdHoverTaskEnvPPO-v2"}
r,l,t
293.297259,395,3433.818326
344.809234,484,3443.644373
-100,1,3443.765762
332.788343,465,3454.458644
438.606457,580,3466.18551
459.431123,615,3478.591003
444.404087,586,3491.647181
-100,1,3491.766866
477.151773,650,3504.896117
386.681388,572,3516.440277
-100,1,3516.572249
449.423664,585,3528.405806
-100,1,3528.517733
148.105907,287,3535.600561
349.136485,484,3545.425647
449.093161,591,3557.374005
-100,1,3557.491073
137.241237,265,3562.926321
-100,1,3563.055216
441.291443,577,3575.922011
438.728871,577,3587.588338
298.470172,400,3595.723173
336.71167,473,3605.296577
439.466294,572,3618.084985
440.490884,577,3629.753121
435.282318,573,3641.347833
145.052739,283,3647.189008
142.795206,283,3652.983637
123.197911,225,3657.655385
397.171026,499,3669.032584
-100,1,3669.153304
440.244367,576,3680.77008
165.131188,307,3687.060561
449.3471,586,3698.928891
341.19028,481,3710.01493
354.617782,488,3719.940823
463.0002,612,3732.326443
460.8207,600,3745.754265
343.04242,479,3755.457858
333.994978,472,3765.043121
231.050492,370,3772.557171
345.757097,485,3782.382558
277.207564,442,3792.627819
136.070897,268,3798.091833
140.665194,280,3803.824275
296.485025,398,3811.951027
242.50265,383,3819.803338
243.042028,381,3827.537625
337.289834,474,3838.34124
440.915735,577,3850.000308
148.059583,295,3856.012682
335.98199,472,3865.628977
-100,1,3865.758801
449.970384,602,3879.153834
-100,1,3879.26477
245.26363,383,3887.037853
340.591549,477,3896.706351
154.471275,305,3902.947072
437.831251,576,3914.573542
440.161661,583,3927.561426
233.5481,373,3935.13547
147.590863,286,3940.997583
261.919792,422,3949.583002
242.263974,377,3957.286609
462.521079,620,3971.133263
-100,1,3971.244356
445.995199,590,3983.162934
334.911952,475,3992.846868
133.660945,273,3998.461651
442.588854,575,4011.343692
-100,1,4011.456133
351.287784,498,4021.533907
344.064099,480,4031.266424
239.218267,370,4038.820762
-100,1,4038.952849
86.716445,188,4042.85245
240.440859,382,4051.824725
344.92129,486,4061.671695
338.483111,477,4071.347112
344.64482,488,4081.263622
389.703615,473,4092.070302
0,1,4092.192603
349.632169,485,4102.043974
407.286801,509,4112.370638
140.558582,281,4118.122864
239.359977,379,4125.854414
335.67844,470,4136.562353
164.144168,325,4143.217396
437.27954,578,4154.924314
-100,1,4155.043381
340.777189,484,4164.879924
402.299582,504,4176.424892
446.161394,588,4188.32053
355.845032,508,4198.644872
439.521335,576,4210.303479
291.419712,393,4219.537802
-100,1,4219.648736
366.34977,532,4230.412162
-100,1,4230.522483
279.379803,381,4238.266897
-100,1,4238.386638
238.43003,372,4245.971877
-100,1,4246.092693
155.371348,290,4252.026238
265.893455,417,4261.748756
234.961456,375,4269.362377
-100,1,4269.486029
445.637354,590,4281.449457
439.032013,578,4293.126849
463.678341,617,4306.784199
158.99549,323,4313.356937
248.599872,391,4321.301685
456.445151,615,4333.768463
238.436273,377,4341.452489
142.333229,279,4348.385122
345.316074,487,4358.241736
160.180223,314,4364.664702
399.330307,501,4374.800965
93.600036,195,4378.811146
345.666777,485,4389.857296
307.548652,391,4397.801017
469.255257,630,4410.529447
-100,1,4410.638068
434.543557,570,4422.163702
256.692299,405,4431.607833
335.742065,477,4441.244252
359.874741,521,4451.819597
-100,1,4451.939295
257.908336,406,4460.175522
237.284402,380,4467.958077
343.687341,489,4479.12358
296.41212,398,4487.189276
237.713581,377,4494.870892
140.154361,281,4500.607226
235.697105,375,4508.242005
361.374724,522,4520.145909
258.818989,395,4528.161488
440.990466,577,4539.829194
141.632629,275,4545.490407
170.392611,333,4552.273325
337.049197,473,4563.112127
281.457333,383,4570.934955
338.554046,474,4580.558758
97.716165,199,4584.661975
301.257586,403,4592.877163
333.106729,471,4603.673347
340.908044,478,4613.334877
156.004951,302,4619.520936
336.606167,470,4629.045247
246.820649,382,4636.840904
-100,1,4636.971896
240.07504,377,4644.64228
158.369405,300,4651.92773
-100,1,4652.046139
454.886351,609,4664.313868
-100,1,4664.443333
341.166768,477,4674.080516
137.792853,273,4679.682545
157.63488,316,4686.155988
-100,1,4686.30529
239.392465,379,4695.179557
442.117001,583,4706.987392
257.821726,394,4715.011052
346.650077,491,4724.986767
138.03222,279,4730.700589
262.907842,428,4740.80468
-100,1,4740.923545
159.447434,321,4747.469701
244.375918,379,4755.153232
352.315661,514,4765.57631
247.05361,400,4773.713814
147.333894,283,4780.704871
139.57554,281,4786.469504
291.155389,475,4796.084318
0,1,4796.234359
371.446445,538,4807.130657
-100,1,4807.260812
355.650148,488,4818.495315
91.693443,193,4822.448951
356.030344,491,4832.414311
245.024696,382,4840.207573
-100,1,4840.318585
148.824191,287,4846.200372
253.50218,419,4854.72491
254.177992,392,4863.921799
379.81947,559,4875.29582
-100,1,4875.408631
440.626984,580,4887.13312
149.36266,286,4892.977503
143.998916,284,4898.831716
193.51392,295,4906.062795
-100,1,4906.171537
264.951156,426,4914.809048
289.252189,391,4922.790723
444.423933,588,4934.670229
243.783842,384,4942.472746
388.867303,569,4955.341392
296.310164,398,4963.435522
459.300449,620,4975.970765
236.022221,370,4983.505852
139.049135,279,4990.577809
352.126171,498,5000.674463
458.714108,616,5013.152297
-100,1,5013.32155
164.885898,306,5019.603029
461.763144,615,5032.030776
189.551867,291,5039.202055
365.320624,527,5049.859523
-100,1,5049.970546
344.341463,487,5059.844089
243.550226,381,5067.619997
444.914168,592,5080.797258
349.680662,495,5090.842314
371.681607,531,5101.58903
360.258556,517,5112.084233
436.889935,572,5124.891436
184.952893,364,5132.284405
253.647427,413,5140.677992
-100,1,5140.789713
171.810728,324,5147.403915
265.12422,325,5154.037356
504.596816,591,5167.283572
0,1,5167.40297
451.628562,585,5179.240254
362.6422,528,5189.896554
143.337585,278,5195.587929
152.734243,316,5202.042283
190.849792,381,5211.066694
448.749762,585,5222.883354
168.369946,304,5229.097627
-100,1,5229.217992
136.736628,283,5235.021456
-100,1,5235.169893
487.987079,675,5250.067535
145.998146,278,5255.748593
-100,1,5255.870097
162.986466,330,5262.605947
-100,1,5262.735877
356.662887,521,5273.290444
443.924965,580,5285.025886
259.45693,413,5294.623078
216.989806,433,5303.437959
237.863762,369,5310.952946
467.700879,626,5323.607602
86.719711,188,5327.538748
268.935638,405,5336.985882
448.57424,585,5348.841962
-100,1,5348.971443
244.082774,379,5356.643781
488.854598,663,5370.042295
-100,1,5370.172385
88.722567,190,5374.101863
444.46406,579,5387.071595
448.789724,592,5399.027035
265.328908,423,5407.631858
-100,1,5407.741488
272.43686,442,5416.697759
350.018491,493,5427.952415
-100,1,5428.072347
188.633065,290,5434.004503
265.515342,422,5442.55987
-100,1,5442.671376
379.299884,481,5452.447825
441.083475,577,5465.342507
474.514557,636,5478.178897
350.069511,488,5488.05253
455.20429,616,5500.481803
-100,1,5500.61082
366.552761,521,5512.368561
137.015256,276,5518.070714
355.420513,516,5528.536366
-100,1,5528.656505
439.121598,575,5540.285549
-100,1,5540.41638
350.462823,488,5551.508129
-100,1,5551.640146
155.89449,290,5557.562572
-100,1,5557.670999
479.045701,650,5570.798909
-100,1,5570.930159
252.271458,409,5579.246302
442.409864,578,5592.149676
150.109721,304,5598.38307
481.882213,666,5611.840852
257.074999,415,5620.266785
340.863316,479,5629.999929
466.02346,634,5644.07926
183.563372,285,5649.931526
285.471684,387,5657.785274
455.378381,615,5670.22414
255.033429,406,5679.716333
445.969273,588,5691.613884
269.459819,429,5700.305674
-100,1,5700.446776
268.574404,436,5709.273165
-100,1,5709.403739
375.694356,452,5718.577251
0,1,5718.69885
453.532197,606,5732.237157
133.841801,266,5737.697931
151.697096,305,5743.932303
