#{"t_start": 1646376119.036609, "env_id": "HummingbirdHoverTaskEnvPPO-v3"}
r,l,t
32.16532,57,626.75265
0,1,626.883157
30.769495,52,628.012885
33.679209,58,630.522632
36.154735,62,631.863983
34.122635,63,633.226258
36.139774,64,634.626515
0,1,634.756335
34.177495,61,636.068368
0,1,636.198044
33.669047,59,637.488294
0,1,637.638828
32.181276,57,638.906398
34.194149,58,640.168224
0,1,640.279116
31.175468,57,641.550507
0,1,641.680558
33.184413,59,642.950261
0,1,643.069416
37.692845,62,644.390383
0,1,644.519589
31.157493,55,645.742592
0,1,645.862757
34.682996,60,647.153398
34.146085,62,648.513334
0,1,648.632984
31.19339,55,649.825111
0,1,649.944874
29.736773,52,651.076589
0,1,651.19535
33.698825,58,652.477919
0,1,652.625151
32.161941,57,653.855279
0,1,653.96563
32.691705,58,655.217876
0,1,655.347851
31.174944,57,656.648013
0,1,656.778974
30.222308,53,657.927202
36.643072,64,659.309306
30.203177,53,660.469623
0,1,660.569337
29.208918,53,661.720342
0,1,661.849398
35.10626,63,663.190872
0,1,663.302096
35.665553,62,664.662811
38.641069,65,666.08358
34.187363,59,667.365871
0,1,667.493917
32.688078,59,668.755146
0,1,668.88591
31.179421,57,670.156016
0,1,670.286854
32.191699,57,671.518953
30.177545,57,672.788338
0,1,672.917405
34.175399,61,674.258635
0,1,674.368936
35.671133,62,675.730106
35.654662,63,678.339571
32.185445,58,679.620494
0,1,679.769066
34.136347,61,681.110346
0,1,681.231404
32.169112,58,682.512849
33.172456,59,683.793487
0,1,683.924264
33.204877,57,685.183437
0,1,685.293949
32.684282,58,686.532969
0,1,686.644237
34.171541,62,688.004117
0,1,688.116038
33.162935,59,689.414969
30.1845,55,690.626228
33.108979,62,691.995903
31.703509,57,693.247432
0,1,693.397172
34.601864,64,694.797086
33.155868,58,696.057196
0,1,696.164212
28.249846,50,697.250245
0,1,697.379841
37.134243,64,698.751166
0,1,698.870019
36.632966,64,700.240695
34.112107,63,701.60016
0,1,701.710508
34.673089,62,703.031402
37.116705,65,704.433153
33.686899,58,705.703236
33.160242,59,706.993608
0,1,707.099774
40.672259,67,708.525816
0,1,708.6381
35.156399,62,709.995215
31.182699,56,711.217725
0,1,711.327754
36.16046,63,712.678187
0,1,712.789322
34.689796,60,714.076609
0,1,714.197281
35.667496,63,715.528332
0,1,715.625007
31.182515,57,716.888875
0,1,716.990914
35.159625,63,718.330039
29.172234,55,719.581099
0,1,719.701703
33.135098,59,720.980514
27.730108,49,722.091616
33.185363,58,723.364179
33.173769,59,726.043862
37.635364,65,727.434526
0,1,727.57447
34.162207,60,728.844251
0,1,728.947119
37.644195,66,730.357236
0,1,730.468181
36.169522,63,731.837325
0,1,731.958741
36.629873,64,733.327811
35.699042,61,734.668429
0,1,734.788193
33.635838,62,736.108516
0,1,736.24858
34.171789,61,737.559358
0,1,737.678732
35.217538,60,738.962083
33.63811,63,740.371725
0,1,740.502204
35.178374,61,741.812699
0,1,741.943248
31.170993,57,743.212821
0,1,743.344178
36.182686,60,744.674563
0,1,744.783924
38.5966,71,746.313627
33.644069,61,747.635544
31.671808,58,748.926011
31.6701,58,750.185239
0,1,750.307071
32.193983,57,751.537777
0,1,751.63789
36.162203,63,752.988698
0,1,753.119559
35.13694,62,754.469805
0,1,754.58021
29.227691,51,755.71975
0,1,755.869669
31.145041,58,757.120469
31.163464,58,758.380511
0,1,758.481451
32.672632,59,759.792654
0,1,759.90895
33.188919,59,761.203606
0,1,761.324581
37.163877,65,762.713136
36.139012,64,764.121795
0,1,764.231803
36.118496,64,765.636746
0,1,765.756501
35.174493,61,767.067038
0,1,767.197087
33.157146,59,768.495571
0,1,768.617077
35.178654,61,769.92704
33.166575,58,771.187603
0,1,771.285896
36.647115,65,772.708732
0,1,772.830564
31.70776,57,775.257639
29.66637,56,776.481667
34.66416,61,777.799912
30.230473,53,778.963194
0,1,779.093037
34.187743,62,780.422829
0,1,780.552383
34.630508,62,781.883009
0,1,782.013642
36.153826,63,783.364695
0,1,783.493873
29.695466,55,784.704442
0,1,784.824057
34.176813,59,786.095659
0,1,786.206161
34.662558,62,787.566405
28.266817,49,788.66641
0,1,788.787573
33.671843,60,790.10657
0,1,790.227646
32.644471,58,791.477258
34.18651,61,792.787416
30.687829,56,794.00992
28.21715,52,795.148925
31.188941,57,796.400687
0,1,796.509632
35.13693,62,797.831127
0,1,797.952698
37.143805,65,799.342324
0,1,799.462043
35.638786,62,800.793006
0,1,800.913544
31.127104,57,802.182112
0,1,802.285475
32.176691,57,803.543224
0,1,803.651735
34.143541,61,805.0051
0,1,805.136564
32.182451,57,806.366548
0,1,806.476533
34.192134,59,807.7767
0,1,807.886923
33.146169,61,809.268147
0,1,809.39861
37.659274,64,810.75739
0,1,810.869244
34.164673,61,812.178083
0,1,812.308902
36.116775,65,813.700815
0,1,813.808621
35.195775,61,815.140966
0,1,815.27122
32.115621,62,816.641731
0,1,816.74858
33.608851,63,818.077414
33.643854,60,819.392953
35.165255,62,820.762883
36.133118,66,823.433492
0,1,823.544016
33.17618,59,824.815481
0,1,824.924124
32.651921,60,826.205183
28.736419,52,827.385836
33.173942,59,828.677502
29.674781,57,829.976384
0,1,830.086919
33.665927,60,831.378491
0,1,831.498266
33.145651,59,832.769942
36.156688,63,834.150577
35.664611,64,835.560297
0,1,835.682347
33.201853,59,836.981493
33.110196,61,838.340786
33.167132,59,839.632995
36.638175,64,841.013833
29.7001,54,842.245417
33.159853,59,843.535013
0,1,843.654468
32.17374,57,844.886219
33.163545,58,846.176616
0,1,846.285949
36.16281,63,847.628503
40.537091,72,849.16813
32.172329,59,850.517865
0,1,850.625583
31.64026,59,851.92818
32.186645,59,853.258057
36.118456,65,854.659049
35.148129,63,856.021293
0,1,856.130823
33.703905,60,857.461464
29.708339,53,858.652368
0,1,858.774045
31.673003,58,860.061867
0,1,860.160552
32.656502,61,861.503768
34.681479,61,862.822706
0,1,862.932751
29.679104,55,864.124912
30.23596,53,865.285638
32.641262,61,866.63645
31.166826,57,867.927109
34.151785,61,870.507487
0,1,870.628775
38.133367,67,872.05932
33.657374,62,873.440114
0,1,873.560669
33.662926,59,874.850465
32.704692,58,876.111826
0,1,876.243072
33.64294,60,877.532212
0,1,877.653077
35.6671,63,879.032294
0,1,879.142847
32.663361,59,880.433159
34.671116,62,881.774013
28.713055,52,882.92558
0,1,883.035969
37.704397,63,884.417201
0,1,884.535816
34.664971,62,885.895252
-65.796038,58,887.177393
-100,1,887.299082
39.618166,70,888.788367
38.625611,68,890.247647
0,1,890.388177
34.702884,60,891.678365
0,1,891.798092
34.157903,62,893.15948
36.116818,64,894.538525
0,1,894.659466
40.597794,72,896.189907
0,1,896.30125
31.16654,58,897.582917
42.616345,73,899.17241
0,1,899.282666
34.674694,61,900.613935
0,1,900.743718
37.641964,66,902.154353
0,1,902.264467
34.626179,64,903.665524
40.122457,70,905.187114
35.188288,61,906.526035
0,1,906.668415
36.151239,63,908.020371
0,1,908.13778
33.194906,59,909.440346
30.186236,55,910.688537
0,1,910.799305
34.196107,59,912.068879
33.648111,61,913.410337
32.669759,58,914.681766
31.675402,58,917.24063
36.618773,64,918.602756
0,1,918.723577
34.179624,61,920.022981
0,1,920.144956
40.630706,70,921.636176
37.107366,65,923.055921
0,1,923.174962
37.560378,69,924.666454
0,1,924.774709
37.687345,66,926.207957
36.155424,63,927.589794
0,1,927.718281
33.672685,60,928.997536
38.57822,69,930.486917
37.150431,64,931.890639
32.644333,60,933.240085
0,1,933.379237
40.100146,71,934.881671
0,1,934.992251
39.628618,68,936.463406
0,1,936.583318
36.148612,63,937.953623
0,1,938.063809
30.206741,55,939.322187
0,1,939.443173
